main -- time : 1545932119.82716s
fibo -- time : 1545932119.82842s
fct -- time : 1545932119.82843s
END -- time : 1545932119.82843s
fibo -- time : 1545932119.82844s
fct -- time : 1545932119.82844s
END -- time : 1545932119.82844s
fibo -- time : 1545932119.82845s
fct -- time : 1545932119.82845s
END -- time : 1545932119.82845s
fibo -- time : 1545932119.82846s
fct -- time : 1545932119.82846s
END -- time : 1545932119.82846s
END -- time : 1545932119.82847s
fibo -- time : 1545932119.82847s
fct -- time : 1545932119.82848s
END -- time : 1545932119.82848s
END -- time : 1545932119.82848s
END -- time : 1545932119.82849s
fibo -- time : 1545932119.82849s
fct -- time : 1545932119.82849s
END -- time : 1545932119.82850s
END -- time : 1545932119.82850s
END -- time : 1545932119.82851s
fibo -- time : 1545932119.82851s
fct -- time : 1545932119.82851s
END -- time : 1545932119.82852s
fibo -- time : 1545932119.82852s
fct -- time : 1545932119.82852s
END -- time : 1545932119.82853s
END -- time : 1545932119.82853s
fibo -- time : 1545932119.82853s
fct -- time : 1545932119.82854s
END -- time : 1545932119.82854s
END -- time : 1545932119.82854s
END -- time : 1545932119.82855s
END -- time : 1545932119.82855s
END -- time : 1545932119.82855s
